Subject Pass Attend
1 pass attend
2 pass attend
3 pass attend
4 pass attend
5 pass attend
6 fail not.attend
7 pass not.attend
8 fail attend
9 pass attend
10 pass attend
11 fail attend
12 pass attend
13 pass attend
14 pass not.attend
15 pass attend
16 pass attend
17 pass attend
18 pass attend
19 pass attend
20 pass attend
21 fail not.attend
22 pass not.attend
23 pass attend
24 pass not.attend
25 fail not.attend
26 pass attend
27 fail not.attend
28 pass attend
29 pass attend
30 pass attend
31 fail not.attend
32 fail attend
33 pass attend
34 pass not.attend
35 pass attend
36 pass attend
37 pass attend
38 pass attend
39 fail attend
40 fail not.attend
41 pass attend
42 pass attend
43 pass not.attend
44 pass attend
45 fail not.attend
46 fail not.attend
47 pass not.attend
48 fail not.attend
49 pass attend
50 fail not.attend
51 pass not.attend
52 fail not.attend
53 pass attend
54 pass not.attend
55 fail not.attend
56 pass attend
57 pass attend
58 fail not.attend
59 pass attend
60 pass attend
61 pass attend
62 pass not.attend
63 pass not.attend
64 pass attend
65 pass attend
66 pass attend
67 pass attend
68 fail not.attend
69 pass attend
70 fail attend
71 fail not.attend
72 pass not.attend
73 pass attend
74 pass attend
75 pass attend
76 pass attend
77 pass attend
78 pass attend
79 pass attend
80 fail attend
81 pass attend
82 pass attend
83 pass attend
84 fail attend
85 pass attend
86 pass attend
87 fail attend
88 pass not.attend
89 pass attend
90 fail not.attend
91 pass attend
92 pass attend
93 pass not.attend
94 pass attend
95 pass attend
96 fail attend
97 pass attend
98 pass attend
99 fail not.attend
100 fail not.attend
101 pass attend
102 fail not.attend
103 pass attend
104 fail not.attend
105 fail attend
106 pass not.attend
107 fail not.attend
108 fail not.attend
109 pass attend
110 pass attend
111 pass attend
112 pass attend
113 pass attend
114 pass attend
115 fail not.attend
116 pass attend
117 pass attend
118 pass attend
119 pass attend
120 fail not.attend
121 pass not.attend
122 fail attend
123 fail attend
124 pass attend
125 pass attend
126 fail attend
127 fail attend
128 pass attend
129 fail attend
130 fail not.attend
131 fail attend
132 pass attend
133 pass attend
134 pass attend
135 pass attend
136 pass attend
137 pass attend
138 fail attend
139 pass attend
140 pass attend
141 fail not.attend
142 pass attend
143 fail not.attend
144 pass not.attend
145 pass not.attend
146 pass not.attend
