sex	age	study	tv	income	clothes	hair	alcohol	sendtxt	receivetxt
male	19	35	6	130	40	20	40	30	30
male	20	20	1	85	200	15	10	50	50
female	20	9	6	200	60	100	50	15	12
female	24	4	0	15	20	55	20	10	20
male	25	28	14	200	30	20	7	5	3
female	38	25	6	220	30	35	10	10	10
male	20	2	1	201	5	15	20	30	30
female	20	10	5	120	100	30	20	50	50
female	27	35	5	374	20	60	40	10	10
female	23	30	0	250	100	50	5	10	10
female	21	10	2	260	200	40	40	50	50
female	20	20	20	200	100	30	10	20	20
male	22	2	0	270	200	16	25	5	5
female	21	12	12	200	100	50	10	10	10
female	21	26	8	400	999.99	60	10	8	5
male	20	25	5	230	20	20	4	25	25
male	23	5	10	90	30	10	10	10	20
female	23	35	1	450	50	40	5	1	1
male	18	3	0	129	50	25	20	100	100
female	23	15	2	200	50	30	20	10	10
female	20	10	4	250	60	20	15	20	20
female	19	14	7	100	150	60	20	25	30
male	20	40	0	900	50	20	5	10	5
male	21	7	14	160	200	16	5	50	20
female	20	10	3	200	200	60	20	15	15
male	26	8	0	240	300	35	50	1	3
male	21	60	3	250	20	25	20	15	15
female	24	5	10	200	200	80	30	10	10
male	24	25	10	400	20	20	20	50	50
female	25	10	10	350	150	50	80	10	10
female	29	4	9	700	100	50	10	5	5
female	21	4	21	300	20	30	5	60	60
male	20	10	2	300	100	40	50	5	5
female	21	2	8	300	300	230	50	30	40
female	25	70	7	375	50	100	6	20	20
male	20	20	5	200	20	15	40	20	20
male	19	12	20	100	50	25	30	25	25
male	19	5	2	150	20	20	10	127	127
male	21	14	3	200	50	30	10	127	127
female	20	35	4	200	50	20	20	50	50
female	19	2	15	190	200	50	20	10	10
male	22	5	10	200	150	20	30	10	10
female	20	20	14	200	100	65	40	100	100
female	19	10	14	200	500	30	20	50	60
female	20	20	7	200	100	250	10	15	20
male	21	7	0	160	50	15	5	20	15
male	20	19	4	170	20	90	5	55	48
male	22	18	0	100	50	25	8	50	45
female	20	30	20	400	150	230	10	50	50
female	20	40	6	450	100	350	10	50	50
male	27	40	0	200	10	10	10	20	20
female	20	10	8	400	200	30	40	8	12
male	21	63	21	370	200	25	40	90	90
female	19	2	12	230	200	30	15	30	30
female	20	3	15	250	50	20	10	5	5
male	21	20	2	400	50	35	40	10	10
male	22	10	5	380	100	15	20	80	80
male	18	1	5	50	30	15	10	20	30
female	20	3	10	125	150	45	20	40	40
male	27	1	2	800	20	70	30	10	10
male	26	14	6	600	50	25	5	15	15
female	20	10	14	120	20	20	30	50	60
female	20	30	5	250	150	30	10	30	30
male	22	3	5	800	200	20	20	10	10
female	20	5	6	190	50	35	30	100	100
female	26	15	3	400	200	80	10	60	40
female	20	20	15	250	100	40	10	10	10
male	19	3	10	120	50	20	150	80	80
male	18	14	10	250	50	22	50	15	15
female	19	20	10	210	100	45	1	30	30
female	22	6	20	50	300	35	12	25	25
female	22	3	4	320	60	35	20	20	20
male	23	1	2	300	300	40	10	20	25
female	22	25	2	210	200	65	10	10	10
female	19	10	15	126	200	50	12	25	30
female	21	6	12	250	400	90	20	20	20
female	19	10	7	300	200	50	15	20	20
male	21	10	5	130	20	25	10	25	25
female	21	15	20	250	50	120	30	5	5
female	22	2	1	200	100	100	50	30	30
male	42	30	8	250	40	25	35	5	5
male	18	5	1	230	30	25	15	10	10
female	19	7	3	260	250	45	30	80	90
female	22	42	2	200	150	60	10	30	45
female	22	15	7	280	50	33	5	20	20
male	19	50	12	200	50	25	100	30	20
female	20	10	3	250	100	15	15	30	30
male	22	10	2	198	50	30	5	10	6
female	20	15	5	300	50	15	5	10	5
female	20	10	4	500	40	80	10	15	15
male	20	10	5	160	100	30	50	20	20
male	29	20	1	120	30	10	8	3	3
female	25	28	0	250	200	50	10	20	20
male	22	6	1	500	200	40	50	50	50
male	21	6	1	198	20	25	30	25	30
female	19	2	2	300	200	25	10	20	20
male	20	10	15	400	50	15	10	10	10
female	18	4	10	200	50	25	30	30	30
male	21	20	6	150	50	25	30	20	30
