Trawl Bycatch
Standard 2
Standard 10.7
Standard 2.6
Standard 1.8
Standard 2.1
Standard 3.9
Standard 23.9
Standard 1
Standard 9.5
Standard 0.3
Standard 1
Standard 3.3
Standard 1.6
Standard 1.1
Standard 3.9
Standard 1.7
Standard 2.8
Standard 4.4
Standard 0.9
Standard 10.9
Standard 5.5
Standard 4.4
Standard 5.9
Standard 5.7
Standard 4.1
Tapered 1.4
Tapered 0.6
Tapered 2.3
Tapered 1.4
Tapered 2.3
Tapered 2
Tapered 2.5
Tapered 1
Tapered 5
Tapered 2.8
Tapered 1.8
Tapered 1.2
Tapered 0.9
Tapered 0.9
Tapered 1.4
Tapered 2.3
Tapered 0.6
Tapered 4.7
Tapered 0.7
Tapered 0.5
Tapered 1.3
Tapered 1.7
Tapered 0.8
Tapered 0.5
Tapered 7.5
