len wgt
44.8 1.92
42.1 1.37
41.3 1.42
50.6 2.55
42.8 1.54
55.1 3.36
42.4 1.55
46.2 2.11
43 1.6
40.3 1.39
52.2 3.1
39.4 1.02
40 1.21
53.3 3.2
43.5 1.65
60.5 4.54
44.3 1.61
32.9 0.71
35.6 0.89
45.5 1.83
47.7 2.19
51.9 2.73
42.3 1.82
57.5 3.39
35 1.02
25.1 0.4
60.8 4.42
29.1 0.58
33.7 0.85
39 1.47
47.6 1.72
36.5 1.4
36.6 1
50.6 2.48
28.8 0.47
42.2 1.46
33.8 0.75
58.5 3.93
38.1 1.09
41.9 1.54
47 1.95
50.9 2.49
31.4 0.64
48.7 1.99
34.3 0.88
72.1 7.45
32.9 0.97
31.7 0.54
36.5 0.96
48.9 2.16
34.2 0.81
40.5 1.4
54.4 2.89
39.7 1.4
41.3 1.51
48.9 2.22
39.3 1.16
55.4 3.2
41.7 1.39
70.7 6.67
39.6 1.52
40.2 1.18
49.2 3.04
46.6 1.73
43.8 1.88
52.8 2.37
35.7 1.06
37 1.21
39.2 1.32
62.8 4.45
50.2 2.3
59.4 3.73
34.5 0.95
47.5 2.32
54.8 3.48
30.3 0.69
28.1 0.52
34.8 1.01
77.9 7.57
35.7 0.83
44.1 1.62
33.7 0.77
48.6 2.15
55.5 3.42
38.1 1.21
46.9 2.34
73.2 7.24
51.2 2.7
34 0.96
38.1 1.13
51.5 2.4
39 1.14
50.5 2.71
51.1 2.3
43.6 1.63
26 0.43
44 1.66
39.5 1.14
38.8 1.23
46.9 1.97
29.4 0.58
48.9 2.34
40.9 1.68
30.8 0.64
61.7 4.41
44.7 1.66
45.8 1.91
40.9 1.67
57.2 3.84
51.1 2.6
35 0.99
41.8 1.24
40.3 1.55
33 0.8
49.7 2.26
39 1.15
41.9 1.76
57.4 4.83
32.4 0.72
46.6 2.22
31.3 0.73
34 0.88
42.9 1.55
56.5 3.9
41.2 1.62
41.6 1.26
39.8 1.33
53.7 2.8
33.6 0.87
51.8 2.85
39.7 1.33
37.8 1.18
47.3 2.01
65 5.34
75.3 7.2
56.7 4.06
33.5 0.71
66.3 5.47
48.3 2.08
41.1 1.56
54.7 2.74
78.2 10.35
38.2 1.11
36.6 1.02
44.5 1.62
45.6 1.85
40.6 1.69
45.4 2.25
70.4 6.9
53 2.72
55.3 3.86
50.4 2.63
55.4 3.43
41 1.31
56.1 3.71
36 1
48.9 2.23
35.4 0.96
39.3 1.22
54.3 3.34
38.1 1.31
52.4 2.69
35.9 1.1
37.4 1.03
39.9 1.27
32.6 0.78
39.7 1.33
42.5 1.46
39.9 1.31
31.2 0.65
47.2 2.39
49.9 2.5
57.3 3.52
46.6 2.43
47.4 1.99
39.8 1.23
65.3 5.59
51.5 2.75
69 6.25
39.8 1.49
36.9 1.01
40.6 1.34
49.2 2.15
62.6 4.33
42.1 1.52
44 1.54
42 1.42
34.9 0.83
30.7 0.77
40.1 1.57
35.1 0.82
36.2 0.95
42.8 1.66
50.2 2.3
37.8 1.06
51.2 2.6
54.4 3.04
63.3 5.26
51.6 2.92
49.6 2.15
38.5 1.21
33.2 0.86
67 5.69
69.3 6.41
50.5 2.4
32.2 0.62
30.2 0.51
45.4 1.66
37.2 1.18
33.5 0.81
54.6 3.06
52.2 2.89
36.8 1.09
51 2.23
57.2 3.75
38 1.22
42.3 1.6
54.7 3
61 4.55
62.2 5.16
55 2.99
63.4 4.29
48 2.27
47.9 2.35
52.4 2.77
39.3 1.25
65.4 4.37
49.9 2.55
48.3 2.03
40.1 1.34
52.1 2.74
54.1 2.85
37.9 0.94
45.6 1.82
62.9 4.57
64.9 5.13
35.8 1.03
50.3 3.04
61.2 4.07
52.3 2.33
31.5 0.74
53.4 3.19
30.3 0.69
31.2 0.55
41.9 1.47
43.7 1.68
31.3 0.8
44.9 1.79
60.5 3.45
49 2.6
39.1 1.22
55.6 3.63
44.4 1.78
28.9 0.54
57.7 3.7
43.5 1.21
52.6 2.42
44.8 1.76
38.7 1.25
44.6 1.9
27.3 0.4
56.2 3.58
54.9 3.59
35.1 1.07
58.9 3.72
54 3.12
41.6 1.47
54.9 2.92
57.1 3.93
44.6 1.95
49.5 2.27
57.7 4.39
71.5 6.52
57.1 3.12
28.2 0.5
25.7 0.47
31.3 0.6
41.5 1.48
40.7 1.33
39.8 1.36
46.9 1.89
48.9 2.77
71.4 7.04
37.7 1.17
38.3 1.12
32.8 0.67
34.7 0.88
47.1 2.27
43.4 1.93
61.4 4.34
54.3 3.14
39.4 1.11
44.8 1.82
40.2 1.46
57.7 3.76
53.6 2.93
41.6 1.41
50.8 3.03
41.8 1.32
37.2 1.18
38.3 1.09
42.7 1.77
64.3 5.55
40.7 1.26
64.2 4.65
31.2 0.65
44.7 1.62
42.6 1.58
32.6 0.67
48.8 2.17
37.6 1.1
49.4 2.11
69 5.59
40.3 1.41
55.5 3.71
57 3.83
36 0.9
32.4 0.78
29.2 0.52
37.2 1.05
39 1.34
54.9 3.07
44.5 1.85
37.5 1.25
53.5 3.44
68.6 5.48
28.6 0.52
36.2 0.87
46.3 2.09
43.5 1.69
39.7 1.3
32.5 0.68
51.9 3.12
47.2 2.36
61 4.64
46.7 2.08
51.3 2.69
56.5 3.63
40.3 1.56
45.8 1.83
45 1.67
31.9 0.69
37.7 0.95
47.7 2.24
30.6 0.57
62 4.57
51.7 2.87
44.1 1.62
50 3.16
41.8 1.56
67.6 6.53
46.7 2.13
43.6 1.75
54.4 3.4
42.2 1.32
44.1 2.03
51.3 2.68
53.6 3.41
58.4 3.93
54.3 2.78
25.4 0.39
49.6 2.53
42.3 1.72
34.1 0.96
40.4 1.37
44.6 1.51
76.5 8.83
58.4 3.36
47.9 1.97
48.2 2.28
37.3 1
64.9 5.23
38.9 1.23
59 3.95
56.6 3.63
39.3 1.27
36.3 0.95
36.6 1.09
42 1.24
49.2 2.33
60.6 5.19
39.6 1.09
79.6 8.3
55.2 3.62
57.8 3.43
86.1 12.44
33.6 0.92
54.3 3.3
72.2 6.54
32.7 0.8
35.5 0.98
35.1 0.82
45.6 1.85
34.1 0.93
37.6 1.05
36 1.07
46.7 2.47
45.2 1.75
34.8 0.82
35.2 1.1
52.7 2.66
35 0.83
47.2 2.07
71.9 5.63
42.3 1.4
27.1 0.42
42 1.7
34.6 0.92
42.2 1.84
46.4 2.2
48.6 2.47
58.8 4.44
38 1.16
32.8 0.62
54.4 2.5
48.9 2.58
73.1 7.68
37.1 1.12
53.2 3.43
42.5 1.75
56.2 3.04
41.5 1.42
38.5 1.28
64.7 5.66
48.1 2.33
46.3 1.97
49.2 2.36
30 0.55
73.8 6.97
42.5 1.42
31.4 0.61
54.1 2.69
56.6 3.75
41.5 1.3
35.4 0.85
42.8 1.64
32.7 0.76
36.8 1.08
55.6 3.48
38.4 1.25
37.3 1.12
67 5.95
29.1 0.51
42.9 1.37
45.6 1.93
44.5 2.26
44.8 1.77
32.5 0.75
55.1 3.89
65.6 5.8
45.2 2.32
53.8 2.85
40.5 1.35
30.4 0.71
31.6 0.71
31.5 0.63
37.3 1.12
43.8 1.59
69.8 8
61.2 4.11
30.1 0.5
42.1 1.41
26.3 0.33
60.7 3.72
32.5 0.79
54.5 2.22
54.4 2.86
37.3 1.01
48.9 2.31
38.6 1.39
37 1.4
34.1 0.9
52.1 2.72
44.8 2.61
49.5 2.34
56 3.25
72.4 6.49
56.3 3.7
85.9 12.1
34.7 0.82
44.9 2.33
53.7 3.46
43.5 1.82
57 3.22
35.3 1.01
71.2 6.91
66.8 4.98
85.2 11.86
65 5.44
65.9 5.68
54.6 3.41
38 1.28
46.8 2.16
46.2 1.86
48.2 2.41
39.7 1.37
38.9 1.25
45.9 2.03
49.9 2.68
45 2.12
58.1 4.44
38.9 1.12
48 1.7
44.1 1.65
47.1 2.11
36.5 0.85
43 1.74
45.7 2.03
47.8 1.96
40.9 1.6
40.2 1.31
46.2 2.06
42.4 1.57
41.1 1.24
41.7 1.63
50.3 2.39
25.4 0.39
53.4 3.25
50.6 3.08
38.5 1.26
33.1 0.81
41.5 1.55
43.8 1.67
51.3 2.48
35.5 0.87
46.7 1.97
62.4 3.99
55.8 3.43
46.6 1.97
32.9 0.72
53.6 1.93
38.8 1.28
37.9 1.1
55.1 3.6
42.5 1.96
35.3 0.94
48.5 2.48
52.1 2.73
47.3 2.1
43.8 1.7
45.6 1.97
39.7 1.22
44.2 1.61
65 4.73
46.9 1.87
62.3 4.24
38.8 1.09
50.3 2.29
60.8 4.89
52.5 2.91
66.8 5.06
32.2 0.71
64.2 4.54
55.2 3.12
47.9 1.85
30.8 0.58
57.6 3.15
62.7 4.2
52.7 3.32
41.2 1.42
45.9 1.99
49.9 2.51
36.6 0.87
49.1 2.49
44.9 1.71
75.2 7.17
33 0.84
29 0.46
36 1.07
49.7 2.15
40.4 1.34
41.2 1.58
46 1.94
51 2.65
34.6 0.91
63.5 4.47
75.8 7.82
37.2 1.12
52.8 3.21
47.3 2.47
30.3 0.69
33 0.87
46.5 2.12
33.7 0.77
72.1 6.45
46.5 2.01
34.9 0.99
74.4 7.72
31.6 0.66
59.4 3.93
50.2 2.51
43.4 1.47
47.3 2.16
53.9 2.94
42.4 1.53
54.4 2.65
38.6 1.17
30.6 0.72
39.3 1.24
54.8 2.64
29.8 0.63
58.5 3.62
50 2.32
41.5 1.96
61.1 4.36
51.3 2.75
48.2 2.45
30 0.5
59.7 3.96
48 2.32
44.6 1.95
50.1 2.52
55.5 3.25
46.2 2.21
51.5 2.9
38 1.04
36.5 0.97
40.8 1.44
51.4 3.05
35.6 1.01
30 0.6
57 3.69
36.9 0.85
55.6 3.65
38.6 1.13
49.9 1.89
32 0.71
42.2 1.48
35.1 1.02
38.5 1.03
42.8 1.41
46 1.92
61.8 4.95
29.7 0.58
33.3 0.92
28.5 0.55
66.2 5.33
40.2 1.22
64.7 5.34
43.6 1.36
73.3 6.83
50.4 2.91
58.9 4.43
32.6 0.67
30.6 0.68
50.7 2.42
39.7 1.25
62.4 4.32
37 0.93
48.6 2.24
44 1.52
61.6 3.98
38.7 1.13
44.4 1.8
39.4 1.24
48.6 2.56
48.9 2.84
44.5 1.85
