Time	Temp	Ratio	Rep	Fuc	Alg	HiKda
2	60	1:1.5	a	0.8461	0.4394	87.23
2	60	1:1.5	b	0.7360	0.4441	81.93
2	60	1:1.5	c	0.7752	0.5257	
2	60	1:2	a	0.8868	0.5303	91.26
2	60	1:2	b	1.1007	0.6721	
2	60	1:2	c	1.0396	0.5350	90.65
2	60	1:3	a	0.9473	0.5390	
2	60	1:3	b	0.9942	0.4703	92.59
2	60	1:3	c	1.1114	0.6421	92.74
3	60	1:1.5	a	0.7996	0.4609	82.35
3	60	1:1.5	b	0.7875	0.4575	83.74
3	60	1:1.5	c	0.7830	0.4359	
3	60	1:2	a	0.9329	0.6072	82.11
3	60	1:2	b	0.9794	0.5978	
3	60	1:2	c	0.9757	2.9039	85.65
3	60	1:3	a	1.0674	0.7034	88.28
3	60	1:3	b	1.1147	0.6374	
3	60	1:3	c	1.0972	0.7225	89.02
4	60	1:1.5	a	0.8906	0.5051	63.94
4	60	1:1.5	b	0.7557	0.5199	
4	60	1:1.5	c	0.7971	0.6150	80.13
4	60	1:2	a	1.0228	0.7960	76.00
4	60	1:2	b	1.0167	0.5985	
4	60	1:2	c	0.9803	0.5405	78.01
4	60	1:3	a	1.0084	0.5315	74.42
4	60	1:3	b	1.0951	0.7970	
4	60	1:3	c	1.0427	0.6774	86.34
2	70	1:1.5	a	0.8325	0.3704	80.28
2	70	1:1.5	b	0.8283	0.5109	
2	70	1:1.5	c	0.8883	0.4726	83.26
2	70	1:2	a	1.0423	0.5271	89.91
2	70	1:2	b	1.0234	0.5431	
2	70	1:2	c	1.0413	0.6087	87.85
2	70	1:3	a	1.1138	0.5478	
2	70	1:3	b	1.1424	0.5405	92.18
2	70	1:3	c	1.1672	0.5899	92.63
3	70	1:1.5	a	0.8696	0.5296	73.39
3	70	1:1.5	b	0.9766	2.1680	
3	70	1:1.5	c	0.9673	3.4944	76.40
3	70	1:2	a	0.9379	4.6177	82.02
3	70	1:2	b	1.1498	5.0438	
3	70	1:2	c	0.9128	4.8759	86.16
3	70	1:3	a	1.0425	7.6205	92.31
3	70	1:3	b	1.0070	7.6694	92.48
3	70	1:3	c	0.9921	7.6243	
4	70	1:1.5	a	0.7930	0.5934	75.34
4	70	1:1.5	b	0.7833	0.6680	
4	70	1:1.5	c	0.9801	1.0218	60.19
4	70	1:2	a	1.0255	3.0954	73.32
4	70	1:2	b	0.8408	5.1219	71.51
4	70	1:2	c	0.9582	0.6742	
4	70	1:3	a	0.9833	0.9241	81.97
4	70	1:3	b	1.1006	0.8139	
4	70	1:3	c	1.0508	0.8749	84.20
2	80	1:1.5	a	0.9222	0.6910	
2	80	1:1.5	b	0.8998	0.5751	75.36
2	80	1:1.5	c	0.9667	0.6910	77.75
2	80	1:2	a	0.9603	0.5802	80.89
2	80	1:2	b	1.0221	0.6128	
2	80	1:2	c	1.0069	0.6580	79.68
2	80	1:3	a	1.1055	0.7278	76.92
2	80	1:3	b	1.0193	0.7012	78.60
2	80	1:3	c	1.1126	0.7379	
3	80	1:1.5	a	0.8601	0.6966	
3	80	1:1.5	b	0.9043	0.6953	75.23
3	80	1:1.5	c	0.8122	0.5837	79.69
3	80	1:2	a	0.8946	0.8516	
3	80	1:2	b	0.9116	0.7330	88.03
3	80	1:2	c	0.9698	0.6853	69.61
3	80	1:3	a	1.0100	0.8560	94.34
3	80	1:3	b	1.0062	0.9273	
3	80	1:3	c	1.0362	0.7700	78.28
4	80	1:1.5	a	0.8464	1.0859	74.40
4	80	1:1.5	b	0.7915	0.8987	
4	80	1:1.5	c	0.8542	1.0314	74.82
4	80	1:2	a	0.9123	0.9873	75.85
4	80	1:2	b	0.8543	0.9232	
4	80	1:2	c	0.8916	1.0196	79.34
4	80	1:3	a	1.0847	1.0924	87.58
4	80	1:3	b	1.0711	0.9757	
4	80	1:3	c	1.0502	1.0088	88.97
