Reserve Date Station Area Status Depth MaxSna LegSna SnaKg MaxCod SnaEggs
CROP 3Nov98 LT98-1 12 nR 12 2 0 0.036943543 0 0
CROP 3Nov98 LT98-2 11 nR 20 2 1 0.846161282 0 23472.65936
CROP 3Nov98 LT98-3 12 nR 21 0 0 0 0 0
CROP 3Nov98 LT98-4 12 nR 18 0 0 0 0 0
CROP 3Nov98 LT98-5 11 nR 21 4 1 1.720583296 0 47989.55277
CROP 3Nov98 LT98-6 7 R 19 9 8 18.38769429 6 644356.804
CROP 3Nov98 LT98-7 6 R 25 1 0 0.291149109 0 6861.459566
CROP 3Nov98 LT98-8 9 nR 20 5 0 1.258415234 0 11865.68342
CROP 3Nov98 LT98-9 12 nR 17 9 2 3.307123318 3 61393.30279
CROP 3Nov98 LT98-14 11 nR 12 7 3 2.562647484 0 59963.48697
CROP 3Nov98 LT98-15 1 nR 7 0 0 0 0 0
CROP 3Nov98 LT98-16 1 nR 7 0 0 0 0 0
CROP 3Nov98 LT98-17 2 nR 7 1 0 0.26068918 0 0
CROP 3Nov98 LT98-18 3 R 12 12 10 12.98009409 0 432856.4767
CROP 3Nov98 LT98-19 4 R 15 12 9 14.81945482 0 497610.1524
CROP 3Nov98 LT98-20 5 R 3 18 15 56.20643921 2 1990860.939
CROP 3Nov98 LT98-21 5 R 20 12 12 18.05936045 0 620535.3685
CROP 3Nov98 LT98-22 10 nR 27 1 0 0.257437246 0 0
CROP 3Nov98 LT98-23 9 nR 26 6 0 1.432845726 0 9210.603906
CROP 3Nov98 LT98-24 8 R 20 6 1 2.343970357 0 63181.74689
CROP 3Nov98 LT98-25 7 R 21 10 8 7.675802672 0 244655.9087
CROP 3Nov98 LT98-26 6 R 19 13 13 13.14592034 0 435087.2565
CROP 3Nov98 LT98-27 5 R 25 5 4 6.199629962 0 209593.8271
CROP 3Nov98 LT98-28 4 R 18 6 3 6.430740289 0 208621.0474
CROP 3Nov98 LT98-29 2 nR 17 0 0 0 0 0
CROP 3Nov98 LT98-30 1 nR 10 0 0 0 0 0
CROP 3Nov98 LT98-41 8 R 24 7 3 3.116078932 2 71895.25109
CROP 3Nov98 LT98-42 7 R 21 7 3 16.91200298 3 597623.0101
CROP 3Nov98 LT98-43 6 R 11 11 8 15.74078462 0 532781.2951
