"Status" "Size" "y"
"nR" "Juv" 0
"nR" "Juv" 14
"nR" "Legal" 1
"nR" "Juv" 4
"nR" "Legal" 0
"R" "Legal" 1
"nR" "Legal" 0
"nR" "Juv" 1
"nR" "Juv" 0
"R" "Juv" 3
"R" "Juv" 2
"R" "Legal" 0
"R" "Juv" 0
"nR" "Juv" 3
"R" "Legal" 12
"R" "Legal" 25
"R" "Juv" 5
"nR" "Legal" 0
"nR" "Juv" 4
"R" "Legal" 16
"R" "Juv" 4
"nR" "Juv" 9
"R" "Legal" 17
"R" "Juv" 0
"R" "Legal" 14
"nR" "Legal" 3
"R" "Legal" 13
"R" "Legal" 7
"R" "Legal" 0
"R" "Juv" 2
"nR" "Juv" 9
"R" "Juv" 2
"nR" "Legal" 0
"nR" "Legal" 0
"R" "Juv" 3
"nR" "Legal" 0
"R" "Juv" 2
"R" "Juv" 0
"R" "Legal" 20
"R" "Legal" 9
"nR" "Juv" 16
"nR" "Legal" 0
"nR" "Legal" 0
"R" "Juv" 0
"nR" "Juv" 4
"nR" "Legal" 0
"R" "Juv" 0
"nR" "Juv" 0
"nR" "Juv" 1
"R" "Legal" 14
"R" "Legal" 10
"nR" "Juv" 0
"nR" "Legal" 1
"R" "Legal" 12
"nR" "Juv" 3
"R" "Legal" 1
"R" "Juv" 10
"nR" "Legal" 0
"nR" "Legal" 0
"nR" "Legal" 0
"R" "Juv" 8
"nR" "Juv" 0
"R" "Juv" 2
"R" "Legal" 6
"R" "Juv" 0
"nR" "Juv" 0
"nR" "Legal" 0
"R" "Juv" 1
"R" "Legal" 12
"R" "Juv" 0
"nR" "Legal" 0
"R" "Juv" 0
"R" "Legal" 7
"R" "Legal" 0
"nR" "Juv" 0
"nR" "Legal" 1
"R" "Juv" 8
"R" "Legal" 12
"R" "Juv" 0
"R" "Juv" 4
"R" "Legal" 0
"R" "Legal" 8
"R" "Juv" 0
"R" "Legal" 9
"nR" "Juv" 0
"nR" "Legal" 1
