forklen    codend   cover
19.5        0        2
20.5        0        5
21.5        0        11
22.5        0        28
23.5        1        53
24.5        5        46
25.5        1        35
26.5        3        27
27.5        1        5
28.5        0        3
29.5        1        2
30.5        0        0
31.5        0        2
32.5        3        2
33.5        4        4
34.5        5        12
35.5        8        9
36.5        13        14
37.5        29        15
38.5        29        8
39.5        34        9
40.5        30        3
41.5        29        3
42.5        18        2
43.5        16        1
44.5        11        0
45.5        12        0
46.5        9        0
47.5        3        0
48.5        5        1
49.5        3        0
50.5        5        0
51.5        2        0
52.5        2        0
53.5        1        0
54.5        1        0
55.5        4        0
