"Pass" "StudyHrs"
"Yes" 90
"Yes" 50
"Yes" 170
"Yes" 90
"No" 30
"Yes" 80
"No" 30
"No" 20
"Yes" 70
"Yes" 80
"No" 20
"Yes" 100
"Yes" 50
"Yes" 130
"No" 30
"No" 10
"No" 60
"Yes" 120
"Yes" 120
"Yes" 60
"Yes" 70
"No" 20
"No" 80
"Yes" 150
"Yes" 140
"Yes" 160
"Yes" 120
"Yes" 140
"Yes" 110
"No" 50
"Yes" 80
"No" 70
"Yes" 120
"Yes" 70
"Yes" 110
"Yes" 140
"Yes" 90
"No" 50
"No" 40
"Yes" 160
"No" 60
"Yes" 140
"Yes" 120
"No" 40
"Yes" 50
"Yes" 100
"Yes" 100
"Yes" 70
"Yes" 140
"Yes" 110
"Yes" 100
"Yes" 90
"No" 50
"Yes" 120
"Yes" 110
"Yes" 180
"Yes" 130
"No" 50
"Yes" 80
"Yes" 140
"Yes" 90
"Yes" 160
"Yes" 90
"Yes" 50
"Yes" 100
"Yes" 120
"Yes" 90
"Yes" 80
"Yes" 80
"No" 90
"No" 50
"Yes" 80
"Yes" 130
"Yes" 130
"Yes" 90
"Yes" 130
"Yes" 60
"No" 50
"Yes" 140
"Yes" 130
"Yes" 60
"Yes" 90
"Yes" 80
"Yes" 170
"No" 30
"No" 40
"Yes" 160
"No" 40
"No" 40
"Yes" 110
"Yes" 130
"Yes" 110
"Yes" 160
"Yes" 100
"Yes" 90
"No" 70
"Yes" 60
"No" 70
"Yes" 140
"No" 50
"Yes" 70
"Yes" 80
"Yes" 110
"No" 40
"Yes" 70
"No" 40
"No" 90
"Yes" 140
"Yes" 90
"No" 90
"No" 70
"Yes" 110
"No" 30
"No" 30
"Yes" 100
"Yes" 120
"No" 50
"Yes" 60
"Yes" 70
"Yes" 80
"Yes" 100
"Yes" 70
"Yes" 40
"No" 80
"No" 20
"No" 40
"Yes" 70
"Yes" 120
"Yes" 130
"No" 60
"Yes" 60
"No" 30
"No" 20
"Yes" 80
"No" 90
"No" 50
"Yes" 120
"Yes" 120
"No" 30
"Yes" 90
"Yes" 40
"Yes" 130
"Yes" 50
"Yes" 90
"Yes" 70
"Yes" 90
